,accuracy,formatted_address,google_place_id,input_string,lat,lng,number_of_results,postcode,status,type
147,APPROXIMATE,"London, UK",ChIJdd4hrwug2EcRmSrV3Vo6llI,North East London,51.5073509,-0.1277583,1,,OK,"locality,political"
148,APPROXIMATE,"London, UK",ChIJdd4hrwug2EcRmSrV3Vo6llI,London,51.5073509,-0.1277583,1,,OK,"locality,political"
149,GEOMETRIC_CENTER,"14th, Mer Rouge, LA 71261, USA",ChIJ068vM9KLLoYR5UFnShlWUU0,"14th & H St NE, Washington, DC, USA",32.7869526,-91.7865076,6,71261,OK,route
150,APPROXIMATE,"Los Angeles, CA, USA",ChIJE9on3F3HwoAR9AhGJW_fL-I,"Los Angeles, California, USA. ",34.0522342,-118.2436849,1,,OK,"locality,political"
151,APPROXIMATE,"Graz, Austria",ChIJu2UwF4c1bkcRm93f0tGKjv4,"Graz, Austria",47.070714,15.439504,1,,OK,"locality,political"
152,APPROXIMATE,"Rochdale, UK",ChIJq7M964y4e0gRJ2XaINteiJo,Rochdale town centre,53.6097136,-2.1561,1,,OK,"locality,political"
153,APPROXIMATE,"Snohomish County, WA, USA",ChIJybF97ueemlQRqURMGYrDDmc,"Snohomish County, Washington",48.0329979,-121.8339472,1,,OK,"administrative_area_level_2,political"
154,APPROXIMATE,"Oklahoma City, OK, USA",ChIJgdL4flSKrYcRnTpP0XQSojM,oklahoma city,35.4675602,-97.5164276,1,,OK,"locality,political"
155,APPROXIMATE,"San Antonio, TX, USA",ChIJrw7QBK9YXIYRvBagEDvhVgg,"San Antonio, TX",29.4241219,-98.4936282,1,,OK,"locality,political"
156,APPROXIMATE,"Pennsylvania, USA",ChIJieUyHiaALYgRPbQiUEchRsI,PA,41.2033216,-77.1945247,2,,OK,"administrative_area_level_1,political"
157,APPROXIMATE,"East Nashville, Nashville, TN 37206, USA",ChIJRUEysDVmZIgRtN6DpDGy-k4,"East Nashville, TN ",36.1725564,-86.7597205,1,37206,OK,"colloquial_area,political"
158,GEOMETRIC_CENTER,"Beale St, Memphis, TN, USA",ChIJqQfXwY9-1YcR_oMvpsuvyYo,Beale street in Memphis tn,35.1388606,-90.0450216,1,,OK,route
159,APPROXIMATE,"Paterson, NJ, USA",ChIJgUIFaTT8wokR2iT7x2DRyr4,"Paterson, NJ, USA",40.9167654,-74.171811,1,,OK,"locality,political"
160,APPROXIMATE,"Berkeley, CA, USA",ChIJ00mFOjZ5hYARk-l1ppUV6pQ,"Berkeley, California, USA",37.8715926,-122.272747,1,,OK,"locality,political"
161,APPROXIMATE,"Paterson, NJ, USA",ChIJgUIFaTT8wokR2iT7x2DRyr4,"Paterson, New Jersey, USA",40.9167654,-74.171811,1,,OK,"locality,political"
162,APPROXIMATE,"Berkeley, CA, USA",ChIJ00mFOjZ5hYARk-l1ppUV6pQ,"Berkeley, California, USA",37.8715926,-122.272747,1,,OK,"locality,political"
163,APPROXIMATE,"Albany, CA, USA",ChIJPQVb0tJ4hYARLxEHP9E4sNU,"Albany, California, USA",37.88687,-122.2977475,1,,OK,"locality,political"
164,APPROXIMATE,"Berkeley, CA, USA",ChIJ00mFOjZ5hYARk-l1ppUV6pQ,"Berkeley, California, USA",37.8715926,-122.272747,1,,OK,"locality,political"
165,ROOFTOP,"1006 Connie Rd, Baraboo, WI 53913, USA",ChIJKQvOiglqB4gRqbGKFHH-ADE,"College Campus, Wisconsin",43.4826265,-89.7625477,1,53913,OK,"establishment,point_of_interest,university"
166,APPROXIMATE,"Gilbert, AZ, USA",ChIJQ65F4A2pK4cRfu_Zf5euU2Q,"Gilbert, Arizona",33.3528264,-111.789027,1,,OK,"locality,political"
167,APPROXIMATE,"Gilbert, AZ, USA",ChIJQ65F4A2pK4cRfu_Zf5euU2Q,"Gilbert, Arizona",33.3528264,-111.789027,1,,OK,"locality,political"
168,APPROXIMATE,"Seattle, WA, USA",ChIJVTPokywQkFQRmtVEaUZlJRA,Seattle,47.6062095,-122.3320708,1,,OK,"locality,political"
169,APPROXIMATE,"Chicago, IL, USA",ChIJ7cv00DwsDogRAMDACa2m4K8,Chicago,41.8781136,-87.6297982,1,,OK,"locality,political"
170,ROOFTOP,"Newark Liberty International Airport (EWR), 3 Brewster Rd, Newark, NJ 07114, USA",ChIJ7wzsxeFSwokRhvLXxTe087M,Newark ,40.6895314,-74.1744624,1,7114,OK,"airport,establishment,point_of_interest"
171,ROOFTOP,"3575 Av du Parc Suite 5100, Montréal, QC H2X 3P9, Canada",ChIJJwYgPTYayUwRXo6PQMYgm-I,on thr metro in Montreal,45.5103177,-73.5750636,1,H2X 3P9,OK,"establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket"
172,ROOFTOP,"2721 Nolensville Pike, Nashville, TN 37211, USA",ChIJv_MVfvNlZIgRMknpMgqZtFw,on a well used road,36.1129979,-86.7468112,1,37211,OK,"car_dealer,establishment,finance,point_of_interest,store"
173,APPROXIMATE,United States,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,U.S.,37.09024,-95.712891,1,,OK,"country,political"
174,APPROXIMATE,"Chelsea, AL, USA",ChIJJ773v_c7iYgRTCKQAgAad0I,"Chelsea, Alabama",33.3401108,-86.6302625,1,,OK,"locality,political"
175,ROOFTOP,"3800 Reservoir Rd NW, Washington, DC 20007, USA",ChIJdYdXbD-2t4kRsGEOZ20ymcY,"Alabama, Georgetown DC",38.9118447,-77.0756487,1,20007,OK,"doctor,establishment,health,point_of_interest"
176,APPROXIMATE,Australia,ChIJ38WHZwf9KysRUhNblaFnglM,AUSTRALIA,-25.274398,133.775136,1,,OK,"country,political"
177,ROOFTOP,"7051 Germantown Ave, Philadelphia, PA 19119, USA",ChIJ__47rLy5xokRpAvYWJ-WNCM,On my way home,40.0583833,-75.1892278,1,19119,OK,"establishment,health,point_of_interest"
178,ROOFTOP,"2917 N Cincinnati St, Spokane, WA 99207, USA",ChIJ0bB65tgYnlQRetWVlo67aGg,"work, school, home",47.6851705,-117.398524,1,99207,OK,"establishment,point_of_interest"
179,ROOFTOP,"Cummins Unit, 2540 State Hwy 388, Gould, AR 71643, USA",ChIJrcCe9wnsLIYRtzJlPa5S8Tk,"Varner, AR at AR Dept of Correction Cummins Unit",34.0521395,-91.584016,2,71643,OK,"establishment,point_of_interest"
180,APPROXIMATE,"Liverpool, NY, USA",ChIJVXe5VkHu2YkRHJYNrF12AeM,Liverpool,43.106456,-76.2177046,3,,OK,"locality,political"
181,APPROXIMATE,"Richmond, VA, USA",ChIJ7cmZVwkRsYkRxTxC4m0-2L8,"Richmond, Virginia, USA",37.5407246,-77.4360481,1,,OK,"locality,political"
182,ROOFTOP,"402 W 47th St, New York, NY 10036, USA",ChIJ77bnZVFYwokRvsG41lMRBa0,Grocery Store and Urban Streets,40.7616567,-73.9907875,1,10036,OK,"establishment,food,grocery_or_supermarket,point_of_interest,store"
183,ROOFTOP,"402 W 47th St, New York, NY 10036, USA",ChIJ77bnZVFYwokRvsG41lMRBa0,Grocery Store and Urban Streets,40.7616567,-73.9907875,1,10036,OK,"establishment,food,grocery_or_supermarket,point_of_interest,store"
184,GEOMETRIC_CENTER,"W Colfax Ave, Lakewood, CO, USA",Eh9XIENvbGZheCBBdmUsIExha2V3b29kLCBDTywgVVNB,"Lakewood, Colorado, Colfax Avenue",39.7401162,-105.1104331,1,,OK,route
185,GEOMETRIC_CENTER,"S Washington St, DeRidder, LA 70634, USA",ChIJ0ejybcWyO4YRnF7JzhNtX4w,"washington stret, DERIDDER, Louisiana 70634 ",30.8417881,-93.2866894,3,70634,OK,route
186,APPROXIMATE,United Kingdom,ChIJqZHHQhE7WgIReiWIMkOg-MQ,United Kingdom,55.378051,-3.435973,1,,OK,"country,political"
187,,,,"Cento St., Loyola Corner, Sampaloc, Manila, Philippines",,,0,,ZERO_RESULTS,
188,ROOFTOP,"841 Swan St, Victoria, BC V8X 2Z2, Canada",ChIJ30G5ybxzj1QR-c0k6zniNHs,The street/ road/ pavement,48.4601435,-123.371968,1,V8X 2Z2,OK,"establishment,general_contractor,point_of_interest"
189,ROOFTOP,"213 S Alma School Rd, Mesa, AZ 85210, USA",ChIJgcgo-_enK4cRwOU4Scd20uU,School/ road/ pavement ,33.4107132,-111.8547175,1,85210,OK,"establishment,general_contractor,point_of_interest"
190,GEOMETRIC_CENTER,"SW Morgan St & 35th Ave SW, Seattle, WA 98126, USA",EjJTVyBNb3JnYW4gU3QgJiAzNXRoIEF2ZSBTVywgU2VhdHRsZSwgV0EgOTgxMjYsIFVTQQ,"Seattle, WA. 35th and Morgan",47.5446772,-122.376443,1,98126,OK,intersection
191,,,,"Village Kalali,Tehsil ch.dadri,Distt.Bhiwani haryana,india",,,0,,ZERO_RESULTS,
192,APPROXIMATE,"Indianapolis, IN, USA",ChIJA2p5p_9Qa4gRfOq5QPadjtY,"Indianapolis, Indiana ",39.768403,-86.158068,1,,OK,"locality,political"
193,ROOFTOP,"592 E 16th St, Yuma, AZ 85365, USA",ChIJofMssuT11oAR8ZKEI5VA8RQ,gas station in Arizona,32.6992856,-114.6132277,1,85365,OK,"convenience_store,establishment,finance,food,gas_station,point_of_interest,store"
194,ROOFTOP,"School Yard, 2A High St, Wickwar, Wotton-under-Edge GL12 8NE, UK",ChIJL3gS37eecUgR2GLx3Ny1qbo,School Yard,51.5956429,-2.4003892,1,GL12 8NE,OK,street_address
195,APPROXIMATE,"Downtown, Los Angeles, CA, USA",ChIJAf09JTTGwoARIKmlGd9S_iY,Downtown LA,34.040713,-118.2467693,1,,OK,"neighborhood,political"
196,APPROXIMATE,"Downtown, Los Angeles, CA, USA",ChIJAf09JTTGwoARIKmlGd9S_iY,Downtown LA,34.040713,-118.2467693,1,,OK,"neighborhood,political"
197,,,,Athens Greece bus line 40 Syggrou-Fix bus stop,,,0,,ZERO_RESULTS,
198,ROOFTOP,"Temple Terrace Hilltop Dog Park, 9420 Harney Rd, Tampa, FL 33637, USA",ChIJS1rPLP7IwogR4mwhC0QJSjg,"Tampa, Temple Terrace Thonotosassa, Valrico Fl",28.0365564,-82.3459249,1,33637,OK,"establishment,park,point_of_interest"
199,,,,"bus,on the way, and chinema hall",,,0,,ZERO_RESULTS,
200,APPROXIMATE,"Philadelphia, PA, USA",ChIJ60u11Ni3xokRwVg-jNgU9Yk,Philadelphia,39.9525839,-75.1652215,1,,OK,"locality,political"
201,APPROXIMATE,"Kathmandu 44600, Nepal",ChIJv6p7MIoZ6zkR6rGN8Rt8E7U,"city, kathmandu",27.7172453,85.3239605,1,44600,OK,"locality,political"
202,APPROXIMATE,"Clarksville, TN, USA",ChIJ5af-L0DOZIgRHicF6Q-xQas,"Clarksville, TN",36.5297706,-87.3594528,1,,OK,"locality,political"
203,ROOFTOP,"1000 E 41st St, Austin, TX 78751, USA",ChIJ0UqGVvW1RIYR4pvzFid5JkA,"Hancock Shopping Center in Austin, TX",30.3004727,-97.7199554,1,78751,OK,"establishment,point_of_interest,shopping_mall"
204,APPROXIMATE,"Kabul, Afghanistan",ChIJSW0ePExp0TgRKUQheDVH3-s,"Kabul, Afghanistan",34.5553494,69.207486,1,,OK,"locality,political"
205,APPROXIMATE,"St Louis Park, MN, USA",ChIJIw_zeAAg9ocRNCg_O27jJ1Y,St Louis Park MN,44.9597376,-93.3702186,1,,OK,"locality,political"
206,APPROXIMATE,"Louisville, KY, USA",ChIJEdVbsxoLaYgRMv1xICi009Q,Louisville,38.2526647,-85.7584557,1,,OK,"locality,political"
207,ROOFTOP,"2100 W 55th St S, Wichita, KS 67217, USA",ChIJjbDw2RPmuocR5X7VWWmTsgI,campus,37.5937844,-97.3677841,1,67217,OK,"establishment,point_of_interest,school"
208,APPROXIMATE,"Columbus, OH, USA",ChIJcd6QucGJOIgRM7Wxz_hmMuQ,"Columbus, OH",39.9611755,-82.9987942,1,,OK,"locality,political"
209,APPROXIMATE,"Bristol, UK",ChIJYdizgWaDcUgRH9eaSy6y5I4,"Bristol, UK",51.454513,-2.58791,1,,OK,"locality,political"
210,ROOFTOP,"100 S Glenwood Ave, Columbia, MO 65203, USA",ChIJWwPk1zO23IcRUPeuBXMKsok,All over uSA,38.9505225,-92.3467572,1,65203,OK,"establishment,point_of_interest"
211,APPROXIMATE,"Worthing, UK",ChIJF1OAYAWYdUgRNPOo9rKRdHY,"Worthing, England",50.81787,-0.372882,1,,OK,"locality,political"
212,APPROXIMATE,"Upper West Side, New York, NY, USA",ChIJ1bsw-4JYwokRbMTfRoskJl4,"Upper West Side, New York, NY",40.7870106,-73.9753676,1,,OK,"neighborhood,political"
213,APPROXIMATE,"Train, Germany",ChIJ7xY68Q1LnkcR0440k_gL1d4,Train,48.7303689,11.8301248,1,,OK,"locality,political"
214,APPROXIMATE,"Nan, Thailand",ChIJu20dDgmOJzERwJWGOLGCgAs,,18.7756318,100.7730417,1,,OK,"administrative_area_level_1,political"
215,APPROXIMATE,"Toronto, ON, Canada",ChIJpTvG15DL1IkRd8S0KlBVNTI,"Toronto, Ontario",43.653226,-79.3831843,1,,OK,"locality,political"
216,GEOMETRIC_CENTER,"School, Herrin, IL 62948, USA",ChIJw1IVEi4jd4gRSeD0lHzmEd8,School,37.810937,-89.0474432,1,62948,OK,route
217,ROOFTOP,"9919 Westheimer Rd, Houston, TX 77042, USA",ChIJ0_kj8TvDQIYRqKtGFHcHbZk,"houston TX, in a kroger store",29.7363167,-95.5452526,1,77042,OK,"establishment,food,grocery_or_supermarket,point_of_interest,store"
218,APPROXIMATE,"Another Place, MD 20685, USA",ChIJzSfHyT18t4kRGsFhMaDc240,different places,38.4417902,-76.5232874,2,20685,OK,"locality,political"
219,APPROXIMATE,"Berkeley, CA, USA",ChIJ00mFOjZ5hYARk-l1ppUV6pQ,Berkley/CA/United states,37.8715926,-122.272747,1,,OK,"locality,political"
220,GEOMETRIC_CENTER,"Coastal Mall Terminal Rd, Parañaque, Metro Manila, Philippines",ChIJKTKUpajOlzMRmnCrDENrJO4,"Coastal Mall/ Bus Terminal, Philippines",14.5161955,120.9927758,1,,OK,"bus_station,establishment,point_of_interest,transit_station"
221,APPROXIMATE,"Madrid, Spain",ChIJgTwKgJcpQg0RaSKMYcHeNsQ,"Madrid, Spain",40.4167754,-3.7037902,1,,OK,"locality,political"
222,,,,"In front of Dick's on Broadway, Capitol Hill, Seattle and in front of Rite Aid, Capitol Hill, Seattle",,,0,,ZERO_RESULTS,
223,APPROXIMATE,"Gretna, LA 70056, USA",ChIJf33_gy6nIIYRSX1WkBcKzFk,70056,29.8930874,-90.0279867,1,70056,OK,postal_code
224,APPROXIMATE,"Seattle, WA, USA",ChIJVTPokywQkFQRmtVEaUZlJRA,"Seattle, WA",47.6062095,-122.3320708,1,,OK,"locality,political"
225,GEOMETRIC_CENTER,"University, Austin, TX 78704, USA",ChIJg9mGd-y0RIYRDSxiew3h0jY,university,30.2307338,-97.7555514,4,78704,OK,route
226,APPROXIMATE,Australia,ChIJ38WHZwf9KysRUhNblaFnglM,Australia,-25.274398,133.775136,1,,OK,"country,political"
227,APPROXIMATE,"New York, NY, USA",ChIJOwg_06VPwokRYv534QaPC8g, NYC,40.7127753,-74.0059728,1,,OK,"locality,political"
228,ROOFTOP,"1 Cedar Point Dr, Sandusky, OH 44870, USA",ChIJt_YJNEVEOogRp3VYcxU9Da4,amusement park in Ohio,41.482207,-82.6835206,1,44870,OK,"amusement_park,establishment,point_of_interest"
229,ROOFTOP,"Burgess Park, 701 Laurel St, Menlo Park, CA 94025, USA",ChIJDWcc4LKkj4ARpSwFeCCXidg,Burgess Park,37.45197,-122.1769357,1,94025,OK,"establishment,park,point_of_interest"
230,ROOFTOP,"710 Santa Monica Blvd, Santa Monica, CA 90401, USA",ChIJxzgULMykwoARqCEz2wWVCxc,My neighborhood,34.0188564,-118.4917947,1,90401,OK,"establishment,point_of_interest"
231,APPROXIMATE,"Salem, OR, USA",ChIJY5xLvPz-v1QRwlcDj-ApNPk,"Salem, Oregon ",44.9428975,-123.0350963,1,,OK,"locality,political"
232,APPROXIMATE,"Seattle, WA, USA",ChIJVTPokywQkFQRmtVEaUZlJRA,Seattle,47.6062095,-122.3320708,1,,OK,"locality,political"
233,APPROXIMATE,"Dunedin, New Zealand",ChIJPVFfD-DkK6gRQZl5hIbvAAU,"Dunedin, New Zealand",-45.8787605,170.5027976,1,,OK,"locality,political"
234,APPROXIMATE,Sri Lanka,ChIJnR5a9jxZ4joRjNPiALSkPeE,Sri Lanka,7.873054,80.771797,1,,OK,"country,political"
235,ROOFTOP,"1782 NY-73, Keene Valley, NY 12943, USA",ChIJp72-vRnpykwRnuTarK4SD28,"In my mothers home neightborhood ,my new home n neightborhood",44.1894874,-73.7856956,2,12943,OK,"establishment,health,point_of_interest"
236,APPROXIMATE,"Houston, TX, USA",ChIJAYWNSLS4QIYROwVl894CDco,Houston,29.7604267,-95.3698028,1,,OK,"locality,political"
237,ROOFTOP,"2140 Bryan Valley Commercial Dr, O'Fallon, MO 63366, USA",ChIJOcSSPj7Q3ocR1vJ8s_rvej8,"O'fallon, MO, USA. In my neighborhood ",38.7963802,-90.7376849,2,63366,OK,"establishment,point_of_interest"
238,APPROXIMATE,"Nan, Thailand",ChIJu20dDgmOJzERwJWGOLGCgAs,,18.7756318,100.7730417,1,,OK,"administrative_area_level_1,political"
239,APPROXIMATE,"England, UK",ChIJ39UebIqp0EcRqI4tMyWV4fQ,england,52.3555177,-1.1743197,1,,OK,"administrative_area_level_1,political"
240,APPROXIMATE,"State College, PA, USA",ChIJc9s7wZmozokRkYA8g8LG4Zw,State College/PA/Centre,40.7933949,-77.8600012,1,,OK,"locality,political"
241,ROOFTOP,"600 E Basin Rd, Wilmington Manor, DE 19720, USA",ChIJ6aJ93qIDx4kRHQKeNaTmOYI,"New Castle, Delaware at Rita's Water Ice",39.6728182,-75.5846091,1,19720,OK,"establishment,food,point_of_interest,restaurant"
242,ROOFTOP,"581 Massachusetts Ave, Cambridge, MA 02139, USA",ChIJ7atu-lN344kRklcYmjjQopQ,"Parking lot near H Mart, corner of Essex Street and Bishop Allen Drive, Cambridge, Massachusetts, USA",42.3650305,-71.1026026,1,2139,OK,"establishment,food,grocery_or_supermarket,point_of_interest,store"
243,,,,8th Ave~ one day they didn't even look up,,,0,,ZERO_RESULTS,
244,APPROXIMATE,"Saskatoon, SK, Canada",ChIJK5ntR7_2BFMRkCZ3lTKeBAU,"Saskatoon, Saskatchewan, Canada",52.1332144,-106.6700458,1,,OK,"locality,political"
245,ROOFTOP,"6500 St Stephens Dr, Austin, TX 78746, USA",ChIJpfAQ4xo1W4YRMBUz3kaTZak,A summer camp,30.3277353,-97.8190012,1,78746,OK,"establishment,point_of_interest"
246,ROOFTOP,"22833 Bothell Everett Hwy, Bothell, WA 98021, USA",ChIJ0Rb3t6kPkFQRSsHPnRDtTQ0,"a QFC in Bothell, Washington, USA",47.7898066,-122.2163661,2,98021,OK,"establishment,food,grocery_or_supermarket,point_of_interest,store"
247,ROOFTOP,"Millennium Park, 201 E Randolph St, Chicago, IL 60602, USA",ChIJA5xPiqYsDogRBBCptdwsGEQ,"city(chicago), Millennium Park ",41.8825524,-87.6225514,1,60602,OK,"establishment,park,point_of_interest"
248,APPROXIMATE,"Brighton, Boston, MA, USA",ChIJxTFcO0h444kRGCt654rYf_0,"Brighton, MA",42.3463503,-71.1626756,1,,OK,"locality,neighborhood,political"
249,APPROXIMATE,"Brussels, Belgium",ChIJ_58PdIbEw0cRMIBML6uZAAE,Brussels,50.8503463,4.3517211,1,,OK,"administrative_area_level_1,locality,political"
250,APPROXIMATE,"San Francisco, CA, USA",ChIJIQBpAG2ahYAR_6128GcTUEo,"San Francisco, CA",37.7749295,-122.4194155,1,,OK,"locality,political"
251,GEOMETRIC_CENTER,"Washington St & Logan St, Frederick, MD 21701, USA",EjJXYXNoaW5ndG9uIFN0ICYgTG9nYW4gU3QsIEZyZWRlcmljaywgTUQgMjE3MDEsIFVTQQ,"Washington, DC (intersection near Logan Circle)",39.4103303,-77.4187889,1,21701,OK,intersection
252,APPROXIMATE,"London, UK",ChIJdd4hrwug2EcRmSrV3Vo6llI,London,51.5073509,-0.1277583,1,,OK,"locality,political"
253,GEOMETRIC_CENTER,"Pocket 52, Kalkaji, New Delhi, Delhi, India",ChIJxxUbFN_jDDkRgdgpBM35FKk,Delhi Gurgaon and Bangalore,28.5373559,77.259502,2,,OK,"establishment,point_of_interest"
254,APPROXIMATE,"Nan, Thailand",ChIJu20dDgmOJzERwJWGOLGCgAs,,18.7756318,100.7730417,1,,OK,"administrative_area_level_1,political"
255,GEOMETRIC_CENTER,"Brooklyn, NY 11217, USA",ChIJ5c2f-a1bwokR9Izugi-zBqc,"Brooklyn, New York 4 Train",40.684901,-73.97768,1,11217,OK,"establishment,point_of_interest,train_station,transit_station"
256,,,,"Dublin, George's street and then up near Rathmines, respectively",,,0,,ZERO_RESULTS,
257,ROOFTOP,"201 S Jackson St, Seattle, WA 98104, USA",ChIJo6NnSrtqkFQREBZ3UHx5epI,"Seattle WA, King County Metro",47.599134,-122.3314145,1,98104,OK,"establishment,local_government_office,point_of_interest"
258,APPROXIMATE,"Wheaton, IL, USA",ChIJx--D-eJTDogRWm0RjFuwPaA,"Wheaton, Illinois",41.8661403,-88.1070127,1,,OK,"locality,political"
259,APPROXIMATE,"Indiana, USA",ChIJHRv42bxQa4gRcuwyy84vEH4,"Indiana, USA",40.2671941,-86.1349019,1,,OK,"administrative_area_level_1,political"
260,APPROXIMATE,"Coimbatore, Tamil Nadu, India",ChIJtRyXL69ZqDsRgtI-GB7IwS8,coimbatore city,11.0168445,76.9558321,1,,OK,"locality,political"
261,APPROXIMATE,"Colorado, USA",ChIJt1YYm3QUQIcR_6eQSTGDVMc,Colorado,39.5500507,-105.7820674,1,,OK,"administrative_area_level_1,political"
262,APPROXIMATE,"Nan, Thailand",ChIJu20dDgmOJzERwJWGOLGCgAs,,18.7756318,100.7730417,1,,OK,"administrative_area_level_1,political"
263,ROOFTOP,"Calz. San Juan de Aragón 22, Villa Gustavo A. Madero, 07070 Ciudad de México, CDMX, Mexico",ChIJZ2o70oL50YURgjsRB3lo4vM,small village in Mexico,19.4840314,-99.1120988,1,7070,OK,"establishment,food,home_goods_store,point_of_interest,store"
264,,,,"Liverpool, Leicester, Birmingham, Coventry. On the street, in shops/supermarkets",,,0,,ZERO_RESULTS,
265,ROOFTOP,"3401 4th St SE, Washington, DC 20032, USA",ChIJgTGbvAK6t4kR-cmkDNuR8LM,4TH STREET SE WASINGTON DC. IN FRONT OF BALLOU HIGH SCHOOL.,38.8393559,-77.0014227,1,20032,OK,"establishment,point_of_interest,school"
266,APPROXIMATE,"Las Vegas, NV, USA",ChIJ0X31pIK3voARo3mz1ebVzDo,Las Vegas,36.1699412,-115.1398296,1,,OK,"locality,political"
267,APPROXIMATE,"California, MD, USA",ChIJA-aOAy5it4kRwDJyjFUZEgc,"California, MD",38.3004029,-76.5074542,1,,OK,"locality,political"
268,APPROXIMATE,"Faridabad, Haryana, India",ChIJsSSk9RXcDDkR8uBQyHYF9eQ,Faridabad,28.4089123,77.3177894,1,,OK,"locality,political"
269,GEOMETRIC_CENTER,"East 125th St & Lexington Ave, New York, NY 10035, USA",ChIJj2aaPwr2wokR3HRM4ACiMAs,NYC lex line subway,40.8044031,-73.9372212,1,10035,OK,"establishment,point_of_interest,subway_station,transit_station"
270,APPROXIMATE,"Cairo, Cairo Governorate, Egypt",ChIJ674hC6Y_WBQRujtC6Jay33k,"Cairo, Egypt",30.0444196,31.2357116,1,,OK,"locality,political"
271,GEOMETRIC_CENTER,"Pond St, Waltham, MA 02451, USA",ChIJOXlp7dWC44kRoLspBgN_5XM,"556 mbta bus line, Waltham&Newton, MA to Boston, MA.",42.3794178,-71.2390932,1,2451,OK,"establishment,point_of_interest"
272,ROOFTOP,"4555 Central Dr, Stone Mountain, GA 30083, USA",ChIJ6X_i9MOo9YgR1xr37cKCYlo,"Stone Mountain High School (Stone Mountain, GA)",33.8104749,-84.2019825,2,30083,OK,"establishment,point_of_interest,school"
273,ROOFTOP,"617 N State St, Chicago, IL 60654, USA",ChIJ8xajea0sDogRjrYnhU_Dl_U,A tea shop near my house,41.8929597,-87.6278966,1,60654,OK,"establishment,food,point_of_interest,store"
274,ROOFTOP,"635 E Baseline Rd, Phoenix, AZ 85042, USA",ChIJh20aZxQQK4cRkHNSFfI-ukA,Popat Road,33.3767149,-112.0679738,2,85042,OK,"dentist,establishment,health,point_of_interest"
275,ROOFTOP,"33650 CO-131, Toponas, CO 80479, USA",ChIJlYlvAHUeQocR75Z7AFCKhQM,At my local library,40.0718285,-106.8357884,1,80479,OK,"establishment,library,point_of_interest"
276,GEOMETRIC_CENTER,"Forest Park Dr & Cicero Rd, Noblesville, IN 46060, USA",EjZGb3Jlc3QgUGFyayBEciAmIENpY2VybyBSZCwgTm9ibGVzdmlsbGUsIElOIDQ2MDYwLCBVU0E,Cicero and Forest Park,40.0498448,-86.015795,1,46060,OK,intersection
277,APPROXIMATE,"Albury NSW 2640, Australia",ChIJpz7zaXxfIWsRACdEkLQJBgU,"albury, NSW, Australia",-36.0737293,146.9135418,1,2640,OK,"locality,political"
278,APPROXIMATE,Canada,ChIJ2WrMN9MDDUsRpY9Doiq3aJk,Canada,56.130366,-106.346771,1,,OK,"country,political"
279,APPROXIMATE,"Eindhoven, Netherlands",ChIJn8N5VRvZxkcRmLlkgWTSmvM,"Eindhoven, The Netherlands",51.441642,5.4697225,1,,OK,"locality,political"
280,APPROXIMATE,"Denver, CO, USA",ChIJzxcfI6qAa4cR1jaKJ_j0jhE,"Denver, CO",39.7392358,-104.990251,1,,OK,"locality,political"
281,ROOFTOP,"Denver International Airport (DEN), 8500 Peña Blvd, Denver, CO 80249, USA",ChIJ_0T_mCp_bIcRapy1NbQ7WEk,Denver to Miami. Currently ,39.8560963,-104.6737376,1,80249,OK,"airport,establishment,point_of_interest"
282,APPROXIMATE,"Queens, NY, USA",ChIJK1kKR2lDwokRBXtcbIvRCUE,"Queens, NY",40.7282239,-73.7948516,1,,OK,"political,sublocality,sublocality_level_1"
283,APPROXIMATE,"San Francisco, CA, USA",ChIJIQBpAG2ahYAR_6128GcTUEo,San Francisco ,37.7749295,-122.4194155,1,,OK,"locality,political"
284,ROOFTOP,"12975 W Jefferson Blvd, Los Angeles, CA 90066, USA",ChIJUxk1ipuwwoAR2zi8YfVpvig,Marina Del Rey Home Depot,33.9767615,-118.4236801,2,90066,OK,"establishment,furniture_store,hardware_store,home_goods_store,point_of_interest,store"
285,ROOFTOP,"100 N Forest Ave, Brazil, IN 47834, USA",ChIJI7jw5DcRbYgR-66afgwW7HA,On the streets,39.5250043,-87.1254155,1,47834,OK,"church,establishment,place_of_worship,point_of_interest"
286,APPROXIMATE,"New Jersey, USA",ChIJn0AAnpX7wIkRjW0_-Ad70iw,New jersey,40.0583238,-74.4056612,1,,OK,"administrative_area_level_1,political"
287,APPROXIMATE,"Oklahoma City, OK, USA",ChIJgdL4flSKrYcRnTpP0XQSojM,"Oklahoma City, OK",35.4675602,-97.5164276,1,,OK,"locality,political"
288,,,,3rd floor of Texas Southern University 3rd floor science building in front of Environmental Toxicology department,,,0,,ZERO_RESULTS,
289,GEOMETRIC_CENTER,"Commissioner St, Johannesburg, South Africa",ChIJbV9PMpsOlR4R2pUYfc02vqc,johannesbug in the street,-26.2041691,28.0535243,1,,OK,route
290,APPROXIMATE,"Hyderabad, Telangana, India",ChIJx9Lr6tqZyzsRwvu6koO3k64,"Hyderabad, Telangana, India",17.385044,78.486671,1,,OK,"locality,political"
291,APPROXIMATE,"Brooklyn, NY, USA",ChIJCSF8lBZEwokRhngABHRcdoI,"Brooklyn, NY",40.6781784,-73.9441579,1,,OK,"political,sublocality,sublocality_level_1"
